MGO2.ELF: hook sites -> containing function; original bl targets -> containing function

SITE 0x009b9fb8  in .opd.FUN_009b970c @009b970c
SITE 0x00b2022c  in .opd.FUN_00b1fe18 @00b1fe18
SITE 0x00b192c0  in .opd.FUN_00b19208 @00b19208
SITE 0x00ba0d1c  in .opd.FUN_00ba08d8 @00ba08d8
SITE 0x00ba17a0  in .opd.FUN_00ba13e0 @00ba13e0
SITE 0x00ba280c  in .opd.FUN_00ba1e40 @00ba1e40
SITE 0x00262e9c  in .opd.FUN_00262d10 @00262d10
SITE 0x00bd9518  in .opd.FUN_00bd8148 @00bd8148
SITE 0x00b10ddc  in .opd.FUN_00b10d28 @00b10d28
SITE 0x00b0fad4  in .opd.FUN_00b0f1f8 @00b0f1f8
SITE 0x00b0faec  in .opd.FUN_00b0f1f8 @00b0f1f8
SITE 0x00bd99e8  in .opd.FUN_00bd8148 @00bd8148
SITE 0x00bd9a20  in .opd.FUN_00bd8148 @00bd8148
SITE 0x00bd9a58  in .opd.FUN_00bd8148 @00bd8148
SITE 0x00bd9ad8  in .opd.FUN_00bd8148 @00bd8148
SITE 0x00bdb50c  in .opd.FUN_00bd8148 @00bd8148
SITE 0x00bdb52c  in .opd.FUN_00bd8148 @00bd8148
SITE 0x008d0e9c  in .opd.FUN_008d0698 @008d0698
SITE 0x00e99930  in .opd.FUN_00e991e8 @00e991e8
SITE 0x00e9ac9c  in .opd.FUN_00e9a968 @00e9a968
SITE 0x00e9b110  in .opd.FUN_00e9a968 @00e9a968
SITE 0x00e9c5b4  in .opd.FUN_00e9b378 @00e9b378
SITE 0x00e9e57c  in .opd.FUN_00e9e238 @00e9e238
SITE 0x00e9ea00  in .opd.FUN_00e9e238 @00e9e238
SITE 0x008d1fe8  in .opd.FUN_008d1dd8 @008d1dd8
SITE 0x00b12144  in .opd.FUN_00b12088 @00b12088
SITE 0x008d1e6c  in .opd.FUN_008d1dd8 @008d1dd8
SITE 0x009bd6c8  in .opd.FUN_009bd284 @009bd284
SITE 0x009a2830  in .opd.FUN_009a261c @009a261c
SITE 0x009a1c94  in .opd.FUN_009a1808 @009a1808
SITE 0x009bd5c8  in .opd.FUN_009bd284 @009bd284
SITE 0x000fad50  in .opd.FUN_000f9598 @000f9598
SITE 0x000f9de4  in .opd.FUN_000f9598 @000f9598
SITE 0x00f00f34  in .opd.FUN_00f00d30 @00f00d30
SITE 0x005d32d4  in .opd.FUN_005d31e8 @005d31e8
SITE 0x00a0ecc0  in .opd.FUN_00a0e65c @00a0e65c
SITE 0x00c07af8  in .opd.FUN_00c07828 @00c07828
SITE 0x002a6c34  in .opd.FUN_002a6908 @002a6908
SITE 0x002a6e90  in .opd.FUN_002a6908 @002a6908
SITE 0x00f0188c  in .opd.FUN_00f01810 @00f01810
SITE 0x00f0189c  in .opd.FUN_00f01810 @00f01810
SITE 0x00f018a8  in .opd.FUN_00f01810 @00f01810
SITE 0x00280860  in .opd.FUN_002806f0 @002806f0
SITE 0x0028137c  in .opd.FUN_00280b68 @00280b68
SITE 0x002623f4  in .opd.FUN_002620d8 @002620d8
SITE 0x00262528  in .opd.FUN_002620d8 @002620d8
SITE 0x00f098dc  in .opd.FUN_00f09854 @00f09854
SITE 0x00271450  in .opd.FUN_00270e00 @00270e00
SITE 0x002770c4  in .opd.FUN_00276e88 @00276e88
SITE 0x00275b34  in .opd.FUN_00275a90 @00275a90
SITE 0x00275c34  in .opd.FUN_00275a90 @00275a90
SITE 0x00275784  in .opd.FUN_00275718 @00275718
SITE 0x002758c0  in .opd.FUN_00275718 @00275718
SITE 0x00811bf4  in .opd.FUN_00811ab0 @00811ab0
SITE 0x0080f4ec  in .opd.FUN_0080f490 @0080f490
SITE 0x003c6eb8  in NONE
SITE 0x009e97d4  in NONE
SITE 0x009c4264  in NONE
SITE 0x00f1c688  in .opd.FUN_00f1c5a0 @00f1c5a0
SITE 0x00f1bdfc  in .opd.FUN_00f1bcfc @00f1bcfc
TARGET 0x00fa4d48  in .opd.FUN_00fa4d48 @00fa4d48
TARGET 0x00b30be8  in .opd.FUN_00b30be8 @00b30be8
TARGET 0x00036350  in .opd.FUN_00036350 @00036350
TARGET 0x00b30e60  in .opd.FUN_00b30e60 @00b30e60
TARGET 0x00ba08d8  in .opd.FUN_00ba08d8 @00ba08d8
TARGET 0x0026c6d8  in .opd.FUN_0026c6d8 @0026c6d8
TARGET 0x000cdc90  in .opd.FUN_000cdc90 @000cdc90
TARGET 0x00253b68  in .opd.FUN_00253b68 @00253b68
TARGET 0x00253be0  in .opd.FUN_00253be0 @00253be0
TARGET 0x000c5ab0  in .opd.FUN_000c5ab0 @000c5ab0
TARGET 0x00e991e8  in .opd.FUN_00e991e8 @00e991e8
TARGET 0x008d0698  in .opd.FUN_008d0698 @008d0698
TARGET 0x000bead8  in .opd.FUN_000bead8 @000bead8
TARGET 0x00aa8920  in .opd.FUN_00aa8920 @00aa8920
TARGET 0x00a0ccb8  in .opd.FUN_00a0ccb8 @00a0ccb8
TARGET 0x0013d4f0  in .opd.FUN_0013d4f0 @0013d4f0
TARGET 0x0013f480  in .opd.FUN_0013f480 @0013f480
TARGET 0x00f0494c  in .opd.FUN_00f0494c @00f0494c
TARGET 0x005e68c8  in .opd.FUN_005e68c8 @005e68c8
TARGET 0x00ead038  in .opd.FUN_00ead038 @00ead038
TARGET 0x00245968  in .opd.FUN_00245968 @00245968
TARGET 0x002aec38  in .opd.FUN_002aec38 @002aec38
TARGET 0x00f2ddd0  in .opd.FUN_00f2ddd0 @00f2ddd0
TARGET 0x00f01668  in .opd.FUN_00f01668 @00f01668
TARGET 0x00f00a00  in .opd.FUN_00f00a00 @00f00a00
TARGET 0x00f0ea88  in .opd.FUN_00f0ea88 @00f0ea88
TARGET 0x002666c8  in .opd.FUN_002666c8 @002666c8
TARGET 0x00f2e20c  in .opd.FUN_00f2e20c @00f2e20c
TARGET 0x0026cc10  in .opd.FUN_0026cc10 @0026cc10
TARGET 0x0026cc88  in .opd.FUN_0026cc88 @0026cc88
TARGET 0x00333608  in .opd.FUN_00333608 @00333608
TARGET 0x00270e00  in .opd.FUN_00270e00 @00270e00
TARGET 0x00246950  in .opd.FUN_00246950 @00246950
TARGET 0x00effa0c  in .opd.FUN_00effa0c @00effa0c
TARGET 0x0013d4f0  in .opd.FUN_0013d4f0 @0013d4f0
