stage,key,name,namespace,text,confidence
lobby,F41A3D,,654515,Deathmatch,verified
lobby,244675,Rule_Eng_DM,654515,Deathmatch,verified-eng-name
lobby,8386EB,Rule_TDM,654515,Team Deathmatch,verified
lobby,890DD1,Rule_Eng_TDM,654515,Team Deathmatch,verified-eng-name
lobby,89D8A4,Rule_RESCUE,654515,Rescue Mission,verified
lobby,FCDB67,Rule_Eng_RESCUE,654515,Rescue Mission,verified-eng-name
lobby,83428E,,654515,Capture Mission,verified
lobby,88C974,Rule_Eng_CAP,654515,Capture Mission,verified-eng-name
lobby,109679,,654515,Sneaking Mission,verified
lobby,2C2E8F,Rule_Eng_SNEAK,654515,Sneaking Mission,verified-eng-name
lobby,67D275,,654515,Base Mission,verified
lobby,18AF36,Rule_Eng_BASE,654515,Base Mission,verified-eng-name
lobby,6809B2,Rule_BOMB,654515,BOMB Mission,verified
lobby,18E673,Rule_Eng_BOMB,654515,BOMB Mission,verified-eng-name
lobby,7119D5,Rule_TSNE,654515,Team Sneaking,verified
lobby,21F696,Rule_Eng_TSNE,654515,Team Sneaking,verified-eng-name
lobby,FEF391,Skill_HAND_MAS,654515,HANDGUN+,verified
lobby,9AEFFC,Skill_Eng_HAND_MAS,654515,HANDGUN+,verified-eng-name
lobby,EF4BCF,Skill_SBMC_MAS,654515,SMG+,verified
lobby,8B483A,Skill_Eng_SBMC_MAS,654515,SMG+,verified-eng-name
lobby,3131A2,Skill_ASSLT_MAS,654515,ASSAULT RIFLE+,verified
lobby,B0BEF5,Skill_Eng_ASSLT_MAS,654515,ASSAULT RIFLE+,verified-eng-name
lobby,FF4D54,Skill_SHOT_MAS,654515,SHOTGUN+,verified
lobby,9B49BF,Skill_Eng_SHOT_MAS,654515,SHOTGUN+,verified-eng-name
lobby,7B984B,Skill_SNIPPER_MAS,654515,SNIPER RIFLE+,verified
lobby,B0E649,Skill_Eng_SNIPPER_MAS,654515,SNIPER RIFLE+,verified-eng-name
lobby,ECAA15,Skill_ZOOM,654515,HAWKEYE,verified
lobby,AC70BF,Skill_Eng_ZOOM,654515,HAWKEYE,verified-eng-name
lobby,A259C4,Skill_LOCKON,654515,SURVEYOR,verified
lobby,BD00C3,Skill_Eng_LOCKON,654515,SURVEYOR,verified-eng-name
lobby,31CF54,Skill_THROW,654515,QUARTERBACK,verified
lobby,2AA48C,Skill_Eng_THROW,654515,QUARTERBACK,verified-eng-name
lobby,E9B458,Skill_TRAP,654515,TRICKSTER,verified
lobby,A97B02,Skill_Eng_TRAP,654515,TRICKSTER,verified-eng-name
lobby,470982,Skill_CQC,654515,CQC+,verified
lobby,9507B7,Skill_Eng_CQC,654515,CQC+,verified-eng-name
lobby,A4AA21,Skill_KNIFE,654515,BLADES+,verified
lobby,9D7F59,Skill_Eng_KNIFE,654515,BLADES+,verified-eng-name
lobby,4FAF6F,Skill_FASTMOV,654515,RUNNER,verified
lobby,A48F52,Skill_Eng_FASTMOV,654515,RUNNER,verified-eng-name
lobby,449B15,Skill_ENEMY,654515,MONOMANIA,verified
lobby,3D704D,Skill_Eng_ENEMY,654515,MONOMANIA,verified-eng-name
lobby,090BA1,Skill_AWARE,654515,SIXTH SENSE,verified
lobby,01E0D9,Skill_Eng_AWARE,654515,SIXTH SENSE,verified-eng-name
lobby,039BB0,Skill_ALERT,654515,NARC,verified
lobby,FC70E7,Skill_Eng_ALERT,654515,NARC,verified-eng-name
lobby,96BD8C,Skill_SCANNING,654515,SCANNER,verified
lobby,32B9F7,Skill_Eng_SCANNING,654515,SCANNER,verified-eng-name
lobby,7A0874,Skill_OFFICER,654515,INSTRUCTOR,verified
lobby,CEE857,Skill_Eng_OFFICER,654515,INSTRUCTOR,verified-eng-name
lobby,473A80,HOST_STANCE_NONE,654515,No Conditions,verified
lobby,428334,HOST_STANCE_EASY,654515,Casual,verified
lobby,4910E7,HOST_STANCE_REAL,654515,Serious,verified
lobby,6C520C,HOST_STANCE_BEGINNER,654515,Newbies Welcome,verified
lobby,01F35C,HOST_STANCE_EVERYONE,654515,Everyone Welcome,verified
lobby,B0514A,,654515,Special,verified
lobby,F9B85A,HOST_STANCE_OTHER,654515,Other,verified
lobby,A20683,HOST_STANCE_INSTRUCTOR_ENTRY,654515,Accepting Trainees,verified
lobby,EA06F6,HOST_STANCE_INSTRUCTOR_STARTED,654515,Closed to New Applicants,verified
lobby,25D36A,,654515,Skill wielding handguns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★☆☆\n- Reload ★☆☆,verified
lobby,25D36B,,654515,Skill wielding handguns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★★☆\n- Reload ★★☆,verified
lobby,25D36C,,654515,Skill wielding handguns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★★★\n- Reload ★★★,verified
lobby,04D8EE,,654515,Skill wielding submachine guns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★☆☆\n- Reload ★☆☆,verified
lobby,04D8EF,,654515,Skill wielding submachine guns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★★☆\n- Reload ★★☆,verified
lobby,04D8F0,,654515,Skill wielding submachine guns.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★★★\n- Reload ★★★,verified
lobby,F87A05,,654515,Skill wielding assault rifles.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★☆☆\n- Reload ★☆☆,verified
lobby,F87A06,,654515,Skill wielding assault rifles.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★★☆\n- Reload ★★☆,verified
lobby,F87A07,,654515,Skill wielding assault rifles.\nReduces recoil when firing and \ndecreases reload time.\n- Recoil ★★★\n- Reload ★★★,verified
lobby,55D906,,654515,Skill wielding shotguns. Reduces\nrecoil when firing and makes reloading \nand pump action faster.\n- Recoil ★☆☆\n- Reload ★☆☆\n- Pump action ★☆☆,verified
lobby,55D907,,654515,Skill wielding shotguns. Reduces\nrecoil when firing and makes reloading \nand pump action faster.\n- Recoil ★★☆\n- Reload ★★☆\n- Pump action ★★☆,verified
lobby,55D908,,654515,Skill wielding shotguns. Reduces\nrecoil when firing and makes reloading \nand pump action faster.\n- Recoil ★★★\n- Reload ★★★\n- Pump action ★★★,verified
lobby,886308,,654515,Skill wielding sniper rifles. Reduces\nrecoil when firing and makes reloading \nand bolt action faster.\n- Recoil ★☆☆\n- Reload ★☆☆\n- Bolt action ★☆☆,verified
lobby,886309,,654515,Skill wielding sniper rifles. Reduces\nrecoil when firing and makes reloading \nand bolt action faster.\n- Recoil ★★☆\n- Reload ★★☆\n- Bolt action ★★☆,verified
lobby,88630A,,654515,Skill wielding sniper rifles. Reduces\nrecoil when firing and makes reloading \nand bolt action faster.\n- Recoil ★★★\n- Reload ★★★\n- Bolt action ★★★,verified
lobby,E1DD8F,,654515,Increases the zoom rate when aiming\nweapons in First Person View.\n(Does not affect zoom rate when using\na scope)\n- Zoom rate ★☆☆,verified
lobby,E1DD90,,654515,Increases the zoom rate when aiming\nweapons in First Person View.\n(Does not affect zoom rate when using\na scope)\n- Zoom rate ★★☆,verified
lobby,E1DD91,,654515,Increases the zoom rate when aiming\nweapons in First Person View.\n(Does not affect zoom rate when using\na scope)\n- Zoom rate ★★★,verified
lobby,CAD9D6,,654515,Extends the maximum lock-on distance.\n- Lock on distance ★☆☆,verified
lobby,CAD9D7,,654515,Extends the maximum lock-on distance.\n- Lock on distance ★★☆,verified
lobby,CAD9D8,,654515,Extends the maximum lock-on distance.\n- Lock on distance ★★★,verified
lobby,BE5B90,,654515,Skill wielding throwing weapons.\nEnables you to throw farther.\n- Throwing distance ★☆☆,verified
lobby,BE5B91,,654515,Skill wielding throwing weapons.\nEnables you to throw farther.\n- Throwing distance ★★☆,verified
lobby,BE5B92,,654515,Skill wielding throwing weapons.\nEnables you to throw farther.\n- Throwing distance ★★★,verified
lobby,11AE34,,654515,Skill wielding traps.\nEnables you to set up traps more quickly.\n- Set up speed ★☆☆,verified
lobby,11AE35,,654515,Skill wielding traps.\nEnables you to set up traps more quickly.\n- Set up speed ★★☆,verified
lobby,11AE36,,654515,Skill wielding traps.\nEnables you to set up traps more quickly.\n- Set up speed ★★★,verified
lobby,3FC229,,654515,Close quarters combat skill.\nPress and hold the R1 button to\nuse CQC against nearby enemies.\n- Can capture and use advanced CQC\n- Knockout damage ★☆☆,verified
lobby,3FC22A,,654515,Close quarters combat skill.\nPress and hold the R1 button to\nuse CQC against nearby enemies.\nGreater CQC knockout damage.\n- Can capture and use advanced CQC\n- Knockout damage ★★☆,verified
lobby,3FC22B,,654515,Close quarters combat skill.\nPress and hold the R1 button to\nuse CQC against nearby enemies. \n- Can capture and use advanced CQC\n- Can take weapons from enemies\n- Knockout damage ★★★,verified
lobby,95893D,,654515,Skill wielding knives.\nRaising this skill enables faster knife attacks.\n- Can move during knife attack,verified
lobby,95893E,,654515,Skill wielding knives.\nRaising this skill enables faster knife attacks.\n- Can move during knife attack,verified
lobby,95893F,,654515,Skill wielding knives.\nRaising this skill enables faster knife attacks.\n- Can move during knife attack\nSkill needed: CQC+\n- Can cut throat during CQC capture,verified
lobby,246312,,654515,Level of agility.\nIncreases movement speed.\n- Movement speed ★☆☆,verified
lobby,246313,,654515,Level of agility.\nIncreases movement speed.\n- Movement speed ★★☆,verified
lobby,246314,,654515,Level of agility.\nIncreases movement speed.\n- Movement speed ★★★,verified
lobby,CF884C,,654515,Displays enemies you've attacked.\nCan share data through SOP.\n- Display time ★☆☆,verified
lobby,CF884D,,654515,Displays enemies you've attacked.\nCan share data through SOP.\n- Display time ★★☆,verified
lobby,CF884E,,654515,Displays enemies you've attacked.\nCan share data through SOP.\n- Display time ★★★,verified
lobby,8BCF55,,654515,Displays nearby traps.\nCan share data through SOP.\n- Display range ★☆☆,verified
lobby,8BCF56,,654515,Displays nearby traps.\nCan share data through SOP.\n- Display range ★★☆,verified
lobby,8BCF57,,654515,Displays nearby traps.\nCan share data through SOP.\n- Display range ★★★,verified
lobby,7B7856,,654515,Displays attacking enemy when locked-on \nand damage is taken.\nCan share data through SOP.\n- Display time ★☆☆,verified
lobby,7B7857,,654515,Displays enemy when locked-on \nby that enemy.\nCan share data through SOP.\n- Display time ★★☆,verified
lobby,7B7858,,654515,Displays enemy when targeted\nby that enemy.\nCan share data through SOP.\n- Display time ★★★,verified
